rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,485651,16363
2,Exxon Mobil,382597,32520
3,Chevron,203784,19241
4,Berkshire Hathaway,194673,19872
5,Apple,182795,39510
6,General Motors,155929,3949
7,Phillips 66,149434,4762
8,General Electric,148321,15233
9,Ford Motor,144077,3187
10,CVS Health,139367,4644
11,McKesson,138030,1263
12,AT&T,132447,6224
13,Valero Energy,130844,3630
14,UnitedHealth Group,130474,5619
15,Verizon,127079,9625
16,AmerisourceBergen,119569,277
17,Fannie Mae,116461,14208
18,Costco,112640,2058
19,HP,111454,5013
20,Kroger,108465,1728
21,JP Morgan Chase,102102,21762
22,Express Scripts Holding,100887,2008
23,Bank of America Corp.,95181,4833
24,IBM,94128,12022
25,Marathon Petroleum,91417,2524
26,Cardinal Health,91084,1166
27,Boeing,90762,5446
28,Citigroup,90646,7313
29,Amazon.com,88988,-241
30,Wells Fargo,88372,23057
31,Microsoft,86833,22074
32,Procter & Gamble,84537,11643
33,Home Depot,83176,6345
34,Archer Daniels Midland,81201,2248
35,Walgreens,76392,1932
36,Target,74520,-1636
37,Johnson & Johnson,74331,16323
38,Anthem,73874,2570
39,MetLife,73316,6309
40,Alphabet,71487,14444
41,State Farm Insurance Cos.,71160,4191
42,Freddie Mac,69367,7690
43,Comcast,68775,8380
44,PepsiCo,66683,6513
45,United Technologies,65100,6220
46,AIG,64406,7529
47,UPS,58232,3032
48,Dow Chemical,58167,3772
49,Aetna,58003,2041
50,Lowe’s,56223,2698
51,ConocoPhillips,55997,6869
52,Intel,55870,11704
53,Energy Transfer Equity,55691,633
54,Caterpillar,55184,3695
55,Prudential Financial,54123,1381
56,Pfizer,49605,9135
57,Walt Disney,48813,7501
58,Humana,48500,1147
59,Enterprise Products Partners,47951,2787
60,Cisco Systems,47142,7853
61,Sysco,46517,932
62,Ingram Micro,46487,267
63,Coca-Cola,45998,7098
64,Lockheed Martin,45600,3614
65,FedEx,45567,2097
66,Johnson Controls,43855,1215
67,Plains GP Holdings,43464,70
68,World Fuel Services,43386,222
69,CHS,42664,1081
70,American Airlines Group,42650,2882
71,Merck,42237,11920
72,Best Buy,41903,1233
73,Delta Air Lines,40362,659
74,Honeywell International,40306,4239
75,HCA Holdings,40087,1875
76,Goldman Sachs Group,40085,8477
77,Tesoro,40052,843
78,Liberty Mutual Insurance Group,39796,1833
79,United Continental Holdings,38901,1132
80,New York Life Insurance,38680,1602
81,Oracle,38275,10955
82,Morgan Stanley,37953,3467
83,Tyson Foods,37580,864
84,Safeway,36643,113
85,Nationwide,36257,432
86,Deere,36067,3162
87,DuPont,36046,3625
88,American Express,35999,5885
89,Allstate,35239,2850
90,Cigna,34914,2102
91,Mondelez International,34244,2184
92,TIAA-CREF,34230,967
93,INTL FCStone,34063,19
94,Massachusetts Mutual Life Insurance,33572,1327
95,DirecTV,33260,2756
96,Halliburton,32870,3500
97,Twenty-First Century Fox,31867,4514
98,3M,31821,4956
99,Sears Holdings,31198,-1682
100,General Dynamics,30852,2533
101,Publix Super Markets,30803,1735
102,Philip Morris International,29767,7493
103,TJX,29078,2215
104,Time Warner,28774,3827
105,Macy’s,28105,1526
106,Nike,27799,2693
107,Tech Data,27671,175
108,Avnet,27500,546
109,Northwestern Mutual,27465,679
110,McDonald’s,27441,4758
111,Exelon,27429,1623
112,Travelers Cos.,27162,3692
113,Qualcomm,26487,7967
114,International Paper,26221,555
115,Occidental Petroleum,25898,616
116,Duke Energy,25673,1883
117,Rite Aid,25526,249
118,Gilead Sciences,24890,12101
119,Baker Hughes,24551,1719
120,Emerson Electric,24537,2147
121,EMC,24440,2714
122,USAA,24033,3410
123,Union Pacific,23988,5180
124,Northrop Grumman,23979,2069
125,Alcoa,23906,268
126,Capital One Financial,23877,4428
127,National Oilwell Varco,23141,2502
128,US Foods,23020,-73
129,Raytheon,22826,2244
130,Time Warner Cable,22812,2031
131,Arrow Electronics,22769,498
132,Aflac,22728,2951
133,Staples,22492,135
134,Abbott Laboratories,22323,2284
135,Community Health Systems,21987,92
136,Fluor,21532,511
137,Freeport-McMoRan,21438,-1308
138,U.S. Bancorp,21392,5851
139,Nucor,21105,714
140,Kimberly-Clark,21044,1526
141,Hess,21015,2317
142,Chesapeake Energy,20951,1917
143,Xerox,20905,969
144,ManpowerGroup,20763,428
145,Amgen,20063,5158
146,AbbVie,19960,1774
147,Danaher,19914,2598
148,Whirlpool,19872,650
149,PBF Energy,19828,-38
150,HollyFrontier,19764,281
151,Eli Lilly,19616,2391
152,Devon Energy,19566,1607
153,Progressive,19391,1281
154,Cummins,19221,1651
155,Icahn Enterprises,19157,-373
156,AutoNation,19109,419
157,Kohl’s,19023,867
158,Paccar,18997,1359
159,Dollar General,18910,1065
160,Hartford Financial Services Group,18847,798
161,Southwest Airlines,18605,1136
162,Anadarko Petroleum,18470,-1750
163,Southern,18467,1963
164,Supervalu,18390,182
165,Kraft Foods Group,18205,1043
166,Goodyear Tire & Rubber,18138,2452
167,EOG Resources,18035,2916
168,CenturyLink,18031,772
169,Altria Group,17945,5070
170,Tenet Healthcare,17924,12
171,General Mills,17910,1824
172,eBay,17902,46
173,ConAgra Foods,17773,303
174,Lear,17727,672
175,TRW Automotive Holdings,17539,293
176,United States Steel,17507,102
177,Penske Automotive Group,17439,287
178,AES,17378,769
179,Colgate-Palmolive,17277,2180
180,Global Partners,17270,115
181,Thermo Fisher Scientific,17100,1894
182,PG&E Corp.,17090,1436
183,NextEra Energy,17021,2465
184,American Electric Power,17020,1634
185,Baxter International,16972,2497
186,Centene,16588,271
187,Starbucks,16448,2068
188,Gap,16435,1262
189,Bank of New York Mellon Corp.,16386,2567
190,Micron Technology,16358,3045
191,Jabil Circuit,16349,241
192,PNC Financial Services Group,16281,4184
193,Kinder Morgan,16226,1026
194,Office Depot,16096,-354
