rank,company,revenue ($ millions),profit ($ millions)
1,Wal-Mart Stores,476294.0,16022.0
2,Exxon Mobil,407666.0,32580.0
3,Chevron,220356.0,21423.0
4,Berkshire Hathaway,182150.0,19476.0
5,Apple,170910.0,37037.0
6,Phillips 66,161175.0,3726.0
7,General Motors,155427.0,5346.0
8,Ford Motor,146917.0,7155.0
9,General Electric,146231.0,13057.0
10,Valero Energy,137758.0,2720.0
11,AT&T,128752.0,18249.0
12,CVS Caremark,126761.0,4592.0
13,Fannie Mae,125696.0,83963.0
14,UnitedHealth Group,122489.0,5625.0
15,McKesson,122455.0,1338.0
16,Verizon Communications,120550.0,11497.0
17,Hewlett-Packard,112298.0,5113.0
18,J.P. Morgan Chase & Co.,106283.0,17923.0
19,Costco Wholesale,105156.0,2039.0
20,Express Scripts Holding,104620.0,1845.0
21,Bank of America Corp.,101697.0,11431.0
22,Cardinal Health,101093.0,334.0
23,International Business Machines,99751.0,16483.0
24,Kroger,98375.0,1519.0
25,Marathon Petroleum,93991.0,2112.0
26,Citigroup,93629.0,13673.0
27,Archer Daniels Midland,89804.0,1342.0
28,AmerisourceBergen,89140.0,434.0
29,Wells Fargo,88069.0,21878.0
30,Boeing,86623.0,4585.0
31,Procter & Gamble,84167.0,11312.0
32,Freddie Mac,81221.0,48668.0
33,Home Depot,78812.0,5385.0
34,Microsoft,77849.0,21863.0
35,Amazon.com,74452.0,274.0
36,Target,72596.0,1971.0
37,Walgreen,72217.0,2450.0
38,WellPoint,71458.0,2490.0
39,Johnson & Johnson,71312.0,13831.0
40,American International Group,68678.0,9085.0
41,State Farm Insurance Cos.,68291.0,5189.0
42,MetLife,68202.0,3368.0
43,PepsiCo,66415.0,6740.0
44,Comcast,64657.0,6816.0
45,United Technologies,62935.0,5721.0
46,Google,60629.0,12920.0
47,ConocoPhillips,59433.0,9156.0
48,Dow Chemical,57080.0,4787.0
49,Caterpillar,55656.0,3789.0
50,United Parcel Service,55438.0,4372.0
51,Pfizer,53785.0,22003.0
52,Lowe's,53417.0,2286.0
53,Intel,52708.0,9620.0
54,Energy Transfer Equity,48750.0,196.0
55,Cisco Systems,48607.0,9983.0
56,Enterprise Products Partners,47727.0,2597.0
57,Aetna,47295.0,1914.0
58,Coca-Cola,46854.0,8584.0
59,Lockheed Martin,45358.0,2981.0
60,Best Buy,45225.0,532.0
61,Walt Disney,45041.0,6136.0
62,CHS,44480.0,992.0
63,Sysco,44411.0,992.0
64,FedEx,44287.0,1561.0
65,Merck,44033.0,4404.0
66,INTL FCStone,43768.0,19.0
67,Safeway,42982.0,3508.0
68,Johnson Controls,42730.0,1178.0
69,Ingram Micro,42554.0,311.0
70,Plains GP Holdings,42249.0,15.0
71,World Fuel Services,41562.0,203.0
72,Prudential Financial,41471.0,-667.0
73,Humana,41313.0,1231.0
74,Goldman Sachs Group,40874.0,8040.0
75,Tesoro,39193.0,412.0
76,Liberty Mutual Insurance Group,39133.0,1743.0
77,Honeywell International,39055.0,3924.0
78,United Continental Holdings,38279.0,571.0
79,HCA Holdings,38040.0,1556.0
80,Deere,37795.0,3537.0
81,Delta Air Lines,37773.0,10540.0
82,Oracle,37180.0,10925.0
83,Morgan Stanley,36848.0,2932.0
84,Hess,36694.0,5052.0
85,Twenty-First Century Fox,36566.0,7097.0
86,DuPont,36475.0,4848.0
87,Sears Holdings,36188.0,-1365.0
88,New York Life Insurance,36026.0,1326.0
89,Mondelēz International,35299.0,3915.0
90,American Express,34932.0,5359.0
91,Nationwide,34542.0,797.0
92,Allstate,34507.0,2280.0
93,Tyson Foods,34482.0,778.0
94,Supervalu,34327.0,-1466.0
95,TIAA-CREF,33817.0,1722.0
96,Massachusetts Mutual Life Insurance,33350.0,193.0
97,Cigna,32380.0,1476.0
98,DirecTV,31754.0,2859.0
99,General Dynamics,31218.0,2357.0
100,Philip Morris International,31217.0,8576.0
101,3M,30871.0,4659.0
102,Time Warner,29795.0,3691.0
103,Halliburton,29402.0,2125.0
104,Publix Super Markets,29148.0,1654.0
105,International Paper,29080.0,1395.0
106,McDonald's,28106.0,5586.0
107,Macy's,27931.0,1486.0
108,TJX,27423.0,2137.0
109,Fluor,27352.0,668.0
110,Northwestern Mutual,26978.0,802.0
111,Tech Data,26822.0,180.0
112,American Airlines Group,26743.0,-1834.0
113,Hartford Financial Services Group,26341.0,176.0
114,Travelers Cos.,26191.0,3673.0
115,Nike,25836.0,2485.0
116,Occidental Petroleum,25736.0,5903.0
117,Avnet,25459.0,450.0
118,Rite Aid,25392.0,118.0
119,Exelon,24888.0,1719.0
120,Qualcomm,24866.0,6853.0
121,Emerson Electric,24669.0,2004.0
122,Northrop Grumman,24661.0,1952.0
123,Duke Energy,24598.0,2665.0
124,Capital One Financial,24176.0,4159.0
125,Aflac,23939.0,3158.0
126,Raytheon,23706.0,1996.0
127,Staples,23314.0,620.0
128,EMC,23222.0,2889.0
129,Eli Lilly,23113.0,4685.0
130,Alcoa,23032.0,-2285.0
131,National Oilwell Varco,22869.0,2327.0
132,Baker Hughes,22364.0,1096.0
133,US Foods,22297.0,-57.0
134,Time Warner Cable,22120.0,1954.0
135,Union Pacific,21963.0,4388.0
136,Abbott Laboratories,21848.0,2576.0
137,Xerox,21838.0,1159.0
138,Arrow Electronics,21357.0,399.0
139,Kimberly-Clark,21152.0,2142.0
140,U.S. Bancorp,21059.0,5836.0
141,United Services Automobile Assn.,20971.0,2726.0
142,Freeport-McMoRan Copper & Gold,20921.0,2658.0
143,Icahn Enterprises,20682.0,1025.0
144,ManpowerGroup,20251.0,288.0
145,HollyFrontier,20161.0,736.0
146,Global Partners,19590.0,43.0
147,Goodyear Tire & Rubber,19540.0,629.0
148,PBF Energy,19152.0,40.0
149,Danaher,19118.0,2695.0
150,Nucor,19052.0,488.0
151,Kohl's,19031.0,889.0
152,AbbVie,18790.0,4128.0
153,Whirlpool,18769.0,827.0
154,Amgen,18676.0,5081.0
155,Jabil Circuit,18337.0,372.0
156,Kraft Foods Group,18218.0,2715.0
157,Progressive,18171.0,1165.0
158,CenturyLink,18095.0,-239.0
159,General Mills,17774.0,1855.0
160,Southwest Airlines,17699.0,754.0
161,Altria Group,17663.0,4535.0
162,AutoNation,17518.0,375.0
163,Chesapeake Energy,17506.0,724.0
164,Dollar General,17504.0,1025.0
165,TRW Automotive Holdings,17435.0,970.0
166,United States Steel,17424.0,-1672.0
167,Colgate-Palmolive,17420.0,2241.0
168,Cummins,17301.0,1483.0
169,Paccar,17124.0,1171.0
170,Southern,17087.0,1644.0
171,Illinois Tool Works,16904.0,1679.0
172,PNC Financial Services Group,16872.0,4220.0
173,Medtronic,16590.0,3467.0
174,AES,16580.0,114.0
175,Murphy USA,16566.0,235.0
176,Bristol-Myers Squibb,16385.0,2563.0
177,Lear,16234.0,431.0
178,Gap,16148.0,1280.0
179,Apache,16054.0,2232.0
180,eBay,16047.0,2856.0
181,Bank of New York Mellon Corp.,15691.0,2111.0
182,CBS,15685.0,1879.0
183,PG&E Corp.,15598.0,814.0
184,ConAgra Foods,15491.0,774.0
185,Computer Sciences,15388.0,961.0
186,American Electric Power,15357.0,1480.0
187,Western Digital,15351.0,980.0
188,Marathon Oil,15320.0,1753.0
189,Baxter International,15259.0,2012.0
190,PPG Industries,15216.0,3231.0
191,NextEra Energy,15136.0,1908.0
192,Community Health Systems,15078.0,141.0
193,Loews,15053.0,595.0
194,Penske Automotive Group,14969.0,244.0
195,FirstEnergy,14950.0,392.0
196,Starbucks,14892.0,8.0
197,Monsanto,14861.0,2482.0
198,Kellogg,14792.0,1807.0
199,Land O'Lakes,14681.0,306.0
200,Oneok,14603.0,267.0
201,Omnicom Group,14585.0,991.0
202,Anadarko Petroleum,14581.0,801.0
203,EOG Resources,14487.0,2197.0
